reference,formula
D and E are both in back of B and larger than it,"FrontOf ( b , d ) & FrontOf ( b , e ) & Smaller ( b , e ) & Smaller ( b , d )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & BackOf ( e , b ) & Larger ( d , b ) & Larger ( d , b ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"BackOf ( e , b ) & Larger ( e , b ) & BackOf ( d , b ) & Larger ( d , b )"
D and E are both in back of B and larger than it,"Larger ( d , b ) & FrontOf ( b , d ) & Larger ( e , b ) & FrontOf ( b , e )"
D and E are both in back of B and larger than it,"BackOf ( e , b ) & BackOf ( d , b ) & Smaller ( b , e ) & Smaller ( b , d )"
D and E are both in back of B and larger than it,"Larger ( e , b ) & Larger ( d , b ) & BackOf ( d , b ) & BackOf ( e , b )"
D and E are both in back of B and larger than it,"FrontOf ( b , e ) & BackOf ( d , b ) & Larger ( d , b ) & Smaller ( b , e )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & Larger ( e , b ) & Larger ( d , b ) & BackOf ( e , b )"
D and E are both in back of B and larger than it,"FrontOf ( b , d ) & Larger ( d , b ) & FrontOf ( b , e ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"Smaller ( b , d ) & Smaller ( b , e ) & BackOf ( d , b ) & BackOf ( e , b )"
D and E are both in back of B and larger than it,"Larger ( d , b ) & BackOf ( d , b ) & BackOf ( e , b ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"FrontOf ( b , e ) & FrontOf ( b , d ) & Smaller ( b , d ) & Smaller ( b , e )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & BackOf ( e , b ) & Smaller ( b , d ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"FrontOf ( b , d ) & Smaller ( b , d ) & FrontOf ( b , e ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"BackOf ( e , b ) & BackOf ( d , b ) & Larger ( d , b ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"FrontOf ( b , d ) & FrontOf ( b , e ) & Larger ( e , b ) & Larger ( d , b )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & BackOf ( e , b ) & Larger ( d , b ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & Smaller ( b , d ) & BackOf ( e , b ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & BackOf ( e , b ) & Smaller ( b , d ) & Smaller ( b , e )"
D and E are both in back of B and larger than it,"Larger ( d , b ) & Larger ( e , b ) & FrontOf ( b , e ) & FrontOf ( b , d )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & Smaller ( b , d ) & BackOf ( e , b ) & Smaller ( b , e )"
D and E are both in back of B and larger than it,"FrontOf ( b , d ) & FrontOf ( b , e ) & Smaller ( b , d ) & Smaller ( b , e )"
D and E are both in back of B and larger than it,"Larger ( d , b ) & BackOf ( d , b ) & Larger ( e , b ) & BackOf ( e , b )"
D and E are the same shape,"~ SameShape ( d , e ) $ SameShape ( d , e )"
D and E are the same shape,"SameShape ( e , d )"
D and E are the same shape,"SameShape ( d , e ) & SameShape ( e , d )"
D and E are the same shape,"SameShape ( d , e )"
D and E are the same size,"SameSize ( d , e )"
D and E are the same size,"SameSize ( e , d )"
D and E are the same size,"SameSize ( d , e ) & SameSize ( e , d )"
D and E are the same size,"~ SameSize ( d , e ) $ SameSize ( d , e )"
D and E are the same size,"SameSize ( d , e ) & SameSize ( d , e )"
D is a cube if and only if it is either medium or large,( ( Medium ( d ) | Large ( d ) ) $ Cube ( d ) ) & ( Cube ( d ) $ ( Medium ( d ) | Large ( d ) ) )
D is a cube if and only if it is either medium or large,( Cube ( d ) $ ( Medium ( d ) | Large ( d ) ) ) & ( ( Medium ( d ) | Large ( d ) ) $ Cube ( d ) )
D is a small dodecahedron unless A is small,( Dodec ( d ) & Small ( d ) ) | ( ( ~ Dodec ( d ) | ~ Small ( d ) ) & Small ( a ) )
D is a small dodecahedron unless A is small,( ~ Dodec ( d ) $ Small ( a ) ) & ( ~ Small ( d ) $ Small ( a ) )
D is a small dodecahedron unless A is small,( Small ( d ) & Dodec ( d ) ) | ( Small ( a ) & ~ ( Dodec ( d ) & Small ( d ) ) )
D is a small dodecahedron unless A is small,~ Small ( a ) $ ( Small ( d ) & Dodec ( d ) )
D is a small dodecahedron unless A is small,( ~ Small ( a ) $ Dodec ( d ) ) & ( ~ Small ( a ) $ Small ( d ) )
D is a small dodecahedron unless A is small,( ~ Dodec ( d ) | ~ Small ( d ) ) $ Small ( a )
D is a small dodecahedron unless A is small,( Small ( d ) & Dodec ( d ) ) | ( ~ ( Small ( d ) & Dodec ( d ) ) & Small ( a ) )
D is a small dodecahedron unless A is small,( Dodec ( d ) & Small ( d ) & ~ Small ( a ) ) | Small ( a )
D is a small dodecahedron unless A is small,( Small ( d ) & Dodec ( d ) & ~ Small ( a ) ) | Small ( a )
D is a small dodecahedron unless A is small,~ Small ( a ) $ ( Dodec ( d ) & Small ( d ) )
D is a small dodecahedron unless A is small,( Small ( d ) & Dodec ( d ) ) | ( Small ( a ) & ~ ( Small ( d ) & Dodec ( d ) ) )
D is a small dodecahedron unless A is small,~ ~ Small ( a ) | ( Small ( d ) & Dodec ( d ) )
D is a small dodecahedron unless A is small,( Dodec ( d ) & Small ( d ) ) | Small ( a )
D is a small dodecahedron unless A is small,~ ( Dodec ( d ) & Small ( d ) ) $ Small ( a )
D is a small dodecahedron unless A is small,~ ( Small ( d ) & Dodec ( d ) ) $ Small ( a )
D is a small dodecahedron unless A is small,( Small ( d ) & Dodec ( d ) ) | Small ( a )
D is a small dodecahedron unless A is small,Small ( a ) | ( Small ( d ) & Dodec ( d ) )
D is a small dodecahedron unless A is small,Small ( a ) | ( Dodec ( d ) & Small ( d ) )
D is a small dodecahedron unless A is small,( ~ Small ( d ) | ~ Dodec ( d ) ) $ Small ( a )
D is a small dodecahedron unless A is small,~ ( Dodec ( d ) & Small ( d ) ) $ ( Small ( a ) & ~ ( Dodec ( d ) & Small ( d ) ) )
D is in back of A,"BackOf ( d , a ) | FrontOf ( a , d )"
D is in back of A,"FrontOf ( a , d )"
D is in back of A,"BackOf ( d , a )"
D is large,Large ( d )
D is large,~ ~ Large ( d )
D is the same shape as B only if they are the same size,"( SameSize ( d , b ) $ SameShape ( d , b ) ) $ ( ~ SameSize ( d , b ) $ ~ SameShape ( d , b ) )"
D is the same shape as B only if they are the same size,"SameShape ( d , b ) $ SameSize ( b , d )"
D is the same shape as B only if they are the same size,"~ SameShape ( d , b ) | SameSize ( d , b )"
D is the same shape as B only if they are the same size,"~ SameSize ( b , d ) $ ~ SameShape ( b , d )"
D is the same shape as B only if they are the same size,"~ SameSize ( b , d ) $ ~ SameShape ( d , b )"
D is the same shape as B only if they are the same size,"SameSize ( d , b ) | ~ SameShape ( d , b )"
D is the same shape as B only if they are the same size,"~ ( ~ SameSize ( d , b ) & SameShape ( d , b ) )"
D is the same shape as B only if they are the same size,"( SameShape ( d , b ) & SameShape ( b , d ) ) $ ( SameSize ( d , b ) & SameSize ( b , d ) )"
D is the same shape as B only if they are the same size,"( SameShape ( b , d ) $ SameSize ( b , d ) ) & ( ~ SameSize ( b , d ) $ ~ SameShape ( b , d ) )"
D is the same shape as B only if they are the same size,"SameShape ( d , b ) $ ( SameSize ( b , d ) & SameShape ( d , b ) )"
D is the same shape as B only if they are the same size,"SameShape ( b , d ) $ SameSize ( d , b )"
D is the same shape as B only if they are the same size,"( SameSize ( d , b ) & SameShape ( d , b ) ) | ~ SameShape ( d , b )"
D is the same shape as B only if they are the same size,"( SameSize ( d , b ) & SameSize ( b , d ) ) | ~ SameShape ( d , b )"
D is the same shape as B only if they are the same size,"( SameShape ( d , b ) $ SameSize ( d , b ) ) & ( ~ SameSize ( d , b ) $ ~ SameShape ( d , b ) )"
D is the same shape as B only if they are the same size,"SameShape ( d , b ) $ ( SameSize ( b , d ) & SameSize ( d , b ) )"
D is the same shape as B only if they are the same size,"SameShape ( d , b ) $ ( SameSize ( d , b ) & SameSize ( b , d ) )"
D is the same shape as B only if they are the same size,"~ SameSize ( d , b ) $ ~ SameShape ( b , d )"
D is the same shape as B only if they are the same size,"( SameShape ( d , b ) & SameSize ( d , b ) ) | ~ SameShape ( d , b )"
D is the same shape as B only if they are the same size,"SameShape ( d , b ) $ SameSize ( d , b )"
D is the same shape as B only if they are the same size,"~ SameSize ( d , b ) $ ~ SameShape ( d , b )"
D is the same shape as B only if they are the same size,"~ SameShape ( d , b ) | SameSize ( b , d )"
D is the same shape as B only if they are the same size,"SameShape ( b , d ) $ SameSize ( b , d )"
E is a dodecahedron,Dodec ( e )
"E is in front of D unless it (i.e., E) is a large tetrahedron","FrontOf ( e , d ) | ( Tet ( e ) & Large ( e ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","~ ( Tet ( e ) & Large ( e ) ) $ FrontOf ( e , d )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","FrontOf ( e , d ) | ( Large ( e ) & Tet ( e ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( FrontOf ( e , d ) & ~ ( Large ( e ) & Tet ( e ) ) ) | ( Large ( e ) & Tet ( e ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","~ FrontOf ( e , d ) $ ( Tet ( e ) & Large ( e ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( ~ Tet ( e ) $ FrontOf ( e , d ) ) & ( ~ Large ( e ) $ FrontOf ( e , d ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","FrontOf ( e , d ) | ( ~ FrontOf ( e , d ) & Large ( e ) & Tet ( e ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( ~ Large ( e ) | ~ Tet ( e ) ) $ FrontOf ( e , d )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","FrontOf ( e , d ) | ( ~ FrontOf ( e , d ) & Tet ( e ) & Large ( e ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","~ ( Large ( e ) & Tet ( e ) ) $ ~ ~ FrontOf ( e , d )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( ~ Tet ( e ) | ~ Large ( e ) ) $ FrontOf ( e , d )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( Large ( e ) & Tet ( e ) ) | FrontOf ( e , d )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","~ ( Large ( e ) & Tet ( e ) ) $ FrontOf ( e , d )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","~ FrontOf ( e , d ) $ ( Large ( e ) & Tet ( e ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( Tet ( e ) & Large ( e ) ) | FrontOf ( e , d )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( Large ( e ) $ ~ Tet ( e ) ) $ FrontOf ( e , d )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( Large ( e ) & Tet ( e ) & ~ FrontOf ( e , d ) ) | FrontOf ( e , d )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","FrontOf ( e , d ) | ( Large ( e ) & Tet ( e ) & ~ FrontOf ( e , d ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( ~ FrontOf ( e , d ) $ Tet ( e ) ) & ( ~ FrontOf ( e , d ) $ Large ( e ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( ~ Large ( e ) $ FrontOf ( e , d ) ) & ( ~ Tet ( e ) $ FrontOf ( e , d ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","FrontOf ( e , d ) | ( Tet ( e ) & Large ( e ) & ~ FrontOf ( e , d ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","~ ~ ( Large ( e ) & Tet ( e ) ) | FrontOf ( e , d )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( FrontOf ( e , d ) & ~ ( Tet ( e ) & Large ( e ) ) ) | ( Tet ( e ) & Large ( e ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","BackOf ( d , e ) | ( Tet ( e ) & Large ( e ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( Tet ( e ) & Large ( e ) ) | ( ~ ( Tet ( e ) & Large ( e ) ) & FrontOf ( e , d ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","FrontOf ( e , d ) | ( ~ FrontOf ( e , d ) $ ( Large ( e ) & Tet ( e ) ) )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( ~ FrontOf ( e , d ) $ ( Tet ( e ) & Large ( e ) ) ) | FrontOf ( e , d )"
"E is in front of D unless it (i.e., E) is a large tetrahedron","( Tet ( e ) $ ~ Large ( e ) ) $ FrontOf ( e , d )"
E is larger than A,"Larger ( e , a ) | Smaller ( a , e )"
E is larger than A,"Smaller ( a , e )"
E is larger than A,"Larger ( e , a )"
E is neither larger than nor smaller than D,"~ ( Larger ( e , d ) | Smaller ( e , d ) )"
E is neither larger than nor smaller than D,"~ Larger ( d , e ) & ~ Larger ( e , d )"
E is neither larger than nor smaller than D,"~ Smaller ( e , d ) & ~ Larger ( e , d )"
E is neither larger than nor smaller than D,"~ ( Smaller ( e , d ) | Larger ( e , d ) )"
E is neither larger than nor smaller than D,"SameSize ( d , e )"
E is neither larger than nor smaller than D,"SameSize ( e , d ) & SameSize ( d , e )"
E is neither larger than nor smaller than D,"~ ~ SameSize ( d , e )"
E is neither larger than nor smaller than D,"~ Larger ( e , d ) & SameSize ( e , d )"
E is neither larger than nor smaller than D,"~ Smaller ( d , e ) & ~ Larger ( d , e )"
E is neither larger than nor smaller than D,"~ Larger ( e , d ) & ~ Larger ( d , e ) & ~ Smaller ( e , d ) & ~ Smaller ( d , e )"
E is neither larger than nor smaller than D,"~ ( Larger ( d , e ) | Larger ( e , d ) )"
E is neither larger than nor smaller than D,"~ ~ ( ~ Larger ( e , d ) & ~ Smaller ( e , d ) )"
E is neither larger than nor smaller than D,"~ Larger ( e , d ) & ~ Smaller ( e , d )"
E is neither larger than nor smaller than D,"SameSize ( e , d )"
E is neither larger than nor smaller than D,"~ ~ SameSize ( e , d )"
E is neither larger than nor smaller than D,"~ Larger ( e , d ) & ~ Larger ( d , e )"
E is neither larger than nor smaller than D,"SameSize ( e , d ) | SameSize ( d , e )"
E is neither larger than nor smaller than D,"~ ( Larger ( e , d ) | Larger ( d , e ) )"
E is neither larger than nor smaller than D,"~ ( Smaller ( d , e ) | Smaller ( e , d ) )"
E is neither larger than nor smaller than D,"~ ( Larger ( d , e ) | Smaller ( d , e ) )"
E is neither larger than nor smaller than D,"~ Smaller ( e , d ) & ~ Smaller ( d , e )"
E is neither larger than nor smaller than D,"~ ( Smaller ( d , e ) | Larger ( d , e ) )"
E is neither larger than nor smaller than D,"~ ( Smaller ( e , d ) | Smaller ( d , e ) )"
E is neither larger than nor smaller than D,"~ Larger ( d , e ) & ~ Smaller ( d , e )"
E is not in the same column as either C or D,"~ SameCol ( e , c ) & ~ SameCol ( e , c ) & ~ SameCol ( e , d )"
E is not in the same column as either C or D,"~ ( SameCol ( c , e ) | SameCol ( e , d ) )"
E is not in the same column as either C or D,"~ SameCol ( e , d ) & ~ SameCol ( e , c ) & ~ ( SameCol ( e , d ) | SameCol ( e , c ) )"
E is not in the same column as either C or D,"~ SameCol ( e , d ) & ~ SameCol ( e , c )"
E is not in the same column as either C or D,"~ ( SameCol ( e , d ) | SameCol ( e , c ) )"
E is not in the same column as either C or D,"~ SameCol ( e , c ) & ~ SameCol ( d , e )"
E is not in the same column as either C or D,"~ SameCol ( c , e ) & ~ SameCol ( e , d )"
E is not in the same column as either C or D,"~ SameCol ( c , e ) & ~ SameCol ( d , e )"
E is not in the same column as either C or D,"~ ( SameCol ( e , c ) | SameCol ( e , d ) ) & ~ SameCol ( e , c ) & ~ SameCol ( e , d )"
E is not in the same column as either C or D,"~ ( SameCol ( c , e ) | SameCol ( d , e ) )"
E is not in the same column as either C or D,"~ ( SameCol ( e , c ) & SameCol ( e , d ) ) & ~ ( SameCol ( e , c ) | SameCol ( e , d ) )"
E is not in the same column as either C or D,"~ SameCol ( e , d ) & ~ SameCol ( c , e )"
E is not in the same column as either C or D,"~ SameCol ( e , d ) & ~ SameCol ( e , c ) & ~ SameCol ( e , d )"
E is not in the same column as either C or D,"~ ( SameCol ( e , c ) | SameCol ( d , e ) )"
E is not in the same column as either C or D,"~ ( SameCol ( e , c ) | SameCol ( e , d ) ) & ~ ( SameCol ( e , c ) & SameCol ( e , d ) )"
E is not in the same column as either C or D,"~ ~ ~ SameCol ( e , c ) & ~ SameCol ( e , d )"
E is not in the same column as either C or D,"~ SameCol ( d , e ) & ~ SameCol ( c , e )"
E is not in the same column as either C or D,"~ SameCol ( e , c ) & ~ SameCol ( e , d )"
E is not in the same column as either C or D,"~ ( SameCol ( d , e ) | SameCol ( c , e ) )"
E is not in the same column as either C or D,"~ ( SameCol ( e , c ) | SameCol ( e , d ) )"
E is not in the same column as either C or D,"~ ( SameCol ( e , d ) | SameCol ( c , e ) )"
E is not in the same column as either C or D,"~ ( SameCol ( d , e ) | SameCol ( e , c ) )"
E is right of B,"LeftOf ( b , e )"
E is right of B,"RightOf ( e , b )"
E is right of B,"RightOf ( e , b ) | LeftOf ( b , e )"
Either A is small or both C and D are large,~ ( ~ Small ( a ) & ~ ( Large ( c ) & Large ( d ) ) )
Either A is small or both C and D are large,( Large ( d ) & Large ( c ) ) | Small ( a )
Either A is small or both C and D are large,Small ( a ) | ( Large ( c ) & Large ( d ) )
Either A is small or both C and D are large,( Small ( a ) | Large ( c ) ) & ( Small ( a ) | Large ( d ) )
Either A is small or both C and D are large,Small ( a ) | ( Large ( c ) & Large ( d ) & ~ Small ( a ) )
Either A is small or both C and D are large,Small ( a ) | ( ~ Small ( a ) & Large ( d ) & Large ( c ) )
Either A is small or both C and D are large,( Large ( c ) & Large ( d ) ) | Small ( a )
Either A is small or both C and D are large,( Large ( c ) & Large ( d ) & ~ Small ( a ) ) | Small ( a )
Either A is small or both C and D are large,Small ( a ) | ( Large ( c ) & Large ( d ) & Large ( d ) )
Either A is small or both C and D are large,Small ( a ) | ( Large ( d ) & Large ( c ) )
Either A is small or both C and D are large,~ ~ Small ( a ) | ( Large ( c ) & Large ( d ) )
Either A is small or both C and D are large,Small ( a ) | ( ~ Small ( a ) & Large ( c ) & Large ( d ) )
Either A is small or both C and D are large,Small ( a ) | ( Large ( c ) & Large ( d ) ) | ( Small ( a ) & ~ ( Large ( c ) & Large ( d ) ) )
Either A is small or both C and D are large,Small ( a ) | ( Large ( c ) & Large ( d ) & ~ ( Small ( a ) & Large ( d ) & Large ( c ) ) )
Either E is not large or it is in back of A,"Large ( e ) $ BackOf ( e , a )"
Either E is not large or it is in back of A,"~ ~ ( ~ Large ( e ) | BackOf ( e , a ) )"
Either E is not large or it is in back of A,"~ Large ( e ) | FrontOf ( a , e )"
Either E is not large or it is in back of A,"~ ~ ~ Large ( e ) | BackOf ( e , a )"
Either E is not large or it is in back of A,"~ Large ( e ) | BackOf ( e , a )"
Either E is not large or it is in back of A,"~ ( Large ( e ) & ~ BackOf ( e , a ) )"
Either E is not large or it is in back of A,"( Large ( e ) & BackOf ( e , a ) ) | ~ Large ( e )"
Either E is not large or it is in back of A,"( BackOf ( e , a ) | ~ Large ( e ) ) & ~ ( ~ BackOf ( e , a ) & Large ( e ) )"
Either E is not large or it is in back of A,"BackOf ( e , a ) | ~ Large ( e )"
Either E is not large or it is in back of A,"~ Large ( e ) | BackOf ( e , a ) | ( ~ Large ( e ) & BackOf ( e , a ) )"
Either E is not large or it is in back of A,"( ~ Large ( e ) | BackOf ( e , a ) ) & ~ ( Large ( e ) & ~ BackOf ( e , a ) )"
Either E is not large or it is in back of A,"~ Large ( e ) | ( BackOf ( e , a ) & Large ( e ) )"
Either E is not large or it is in back of A,"~ Large ( e ) | ( Large ( e ) & BackOf ( e , a ) )"
Either E is not large or it is in back of A,"( ~ Large ( e ) & ~ BackOf ( e , a ) ) | BackOf ( e , a )"
Either E is not large or it is in back of A,"~ Large ( e ) | ( BackOf ( e , a ) & ~ ( ~ Large ( e ) & BackOf ( e , a ) ) )"
Either both A and E are tetrahedra or both A and F are,"( SameShape ( a , e ) & Tet ( a ) ) | ( SameShape ( a , f ) & Tet ( a ) )"
Either both A and E are tetrahedra or both A and F are,~ ( ~ ( Tet ( a ) & Tet ( e ) ) & ~ ( Tet ( a ) & Tet ( f ) ) )
Either both A and E are tetrahedra or both A and F are,Tet ( a ) & ( Tet ( f ) | Tet ( e ) )
Either both A and E are tetrahedra or both A and F are,"( Tet ( a ) & SameShape ( a , f ) ) | ( Tet ( a ) & SameShape ( a , e ) )"
Either both A and E are tetrahedra or both A and F are,"( Tet ( a ) & SameShape ( e , a ) ) | ( Tet ( a ) & SameShape ( f , a ) )"
Either both A and E are tetrahedra or both A and F are,"( Tet ( a ) & SameShape ( a , e ) ) | ( Tet ( a ) & SameShape ( a , f ) )"
Either both A and E are tetrahedra or both A and F are,"( SameShape ( a , e ) & Tet ( a ) ) | ( SameShape ( f , a ) & Tet ( a ) )"
Either both A and E are tetrahedra or both A and F are,( Tet ( e ) & Tet ( a ) ) | ( Tet ( f ) & Tet ( a ) )
Either both A and E are tetrahedra or both A and F are,( Tet ( a ) & Tet ( e ) ) | ( Tet ( a ) & Tet ( f ) )
Either both A and E are tetrahedra or both A and F are,"( SameShape ( a , e ) | SameShape ( a , f ) ) & Tet ( a )"
Either both A and E are tetrahedra or both A and F are,( Tet ( a ) & Tet ( e ) ) | ( ~ ( Tet ( a ) & Tet ( e ) ) & Tet ( f ) & Tet ( a ) )
Either both A and E are tetrahedra or both A and F are,( Tet ( e ) | Tet ( f ) ) & Tet ( a )
Either both A and E are tetrahedra or both A and F are,~ ~ ( Tet ( a ) & Tet ( e ) ) | ~ ~ ( Tet ( a ) & Tet ( f ) )
Either both A and E are tetrahedra or both A and F are,"Tet ( a ) & ( SameShape ( e , a ) | SameShape ( f , a ) )"
Either both A and E are tetrahedra or both A and F are,( Tet ( a ) & Tet ( e ) ) | ( ~ ( Tet ( a ) & Tet ( e ) ) & Tet ( a ) & Tet ( f ) )
Either both A and E are tetrahedra or both A and F are,( Tet ( f ) & Tet ( a ) ) | ( Tet ( a ) & Tet ( e ) )
Either both A and E are tetrahedra or both A and F are,"Tet ( a ) & ( SameShape ( e , a ) | SameShape ( a , f ) )"
Either both A and E are tetrahedra or both A and F are,( Tet ( a ) & Tet ( f ) ) | ( Tet ( a ) & Tet ( e ) )
Either both A and E are tetrahedra or both A and F are,"Tet ( a ) & ( SameShape ( a , e ) | SameShape ( a , f ) )"
Either both A and E are tetrahedra or both A and F are,Tet ( a ) & ( Tet ( e ) | ( ~ Tet ( e ) & Tet ( f ) ) )
Either both A and E are tetrahedra or both A and F are,"Tet ( a ) & ( SameShape ( a , f ) | SameShape ( a , e ) )"
Either both A and E are tetrahedra or both A and F are,( Tet ( a ) & Tet ( e ) ) | ( Tet ( a ) & Tet ( f ) & ~ ( Tet ( a ) & Tet ( e ) ) )
Either both A and E are tetrahedra or both A and F are,( Tet ( a ) & Tet ( e ) ) | ( Tet ( f ) & Tet ( a ) )
Either both A and E are tetrahedra or both A and F are,( Tet ( a ) & Tet ( e ) ) | ( Tet ( a ) & Tet ( f ) & ~ ( Tet ( e ) & Tet ( f ) ) )
Either both A and E are tetrahedra or both A and F are,( Tet ( a ) & Tet ( e ) ) | ( Tet ( a ) & Tet ( f ) & ~ Tet ( e ) )
Either both A and E are tetrahedra or both A and F are,( Tet ( a ) & Tet ( f ) ) | ( Tet ( e ) & Tet ( a ) )
Either both A and E are tetrahedra or both A and F are,( Tet ( a ) & Tet ( e ) ) | ( Tet ( a ) & Tet ( f ) & ~ ( Tet ( a ) & Tet ( e ) & Tet ( f ) ) )
Either both A and E are tetrahedra or both A and F are,Tet ( a ) & ( Tet ( e ) | Tet ( f ) )
Either both A and E are tetrahedra or both A and F are,Tet ( a ) & ( Tet ( e ) | ( Tet ( a ) & Tet ( f ) ) )
Either both A and E are tetrahedra or both A and F are,( Tet ( a ) & Tet ( e ) ) | ( ~ Tet ( e ) & Tet ( a ) & Tet ( f ) )
Either both A and E are tetrahedra or both A and F are,( Tet ( a ) & Tet ( e ) ) | ( Tet ( a ) & Tet ( f ) & ~ ( Tet ( f ) & Tet ( e ) ) )
Either both A and E are tetrahedra or both A and F are,( Tet ( e ) & Tet ( a ) ) | ( Tet ( a ) & Tet ( f ) )
Either both A and E are tetrahedra or both A and F are,~ ~ ( Tet ( a ) & Tet ( e ) ) | ( Tet ( a ) & Tet ( f ) )
"F is either a cube or a dodecahedron, if it is large",Large ( f ) $ ( Dodec ( f ) | Cube ( f ) )
"F is either a cube or a dodecahedron, if it is large",( Large ( f ) $ Cube ( f ) ) | ( Large ( f ) $ Dodec ( f ) )
"F is either a cube or a dodecahedron, if it is large",~ ( Cube ( f ) | Dodec ( f ) ) $ ~ Large ( f )
"F is either a cube or a dodecahedron, if it is large",Large ( f ) $ ( ~ Cube ( f ) $ Dodec ( f ) )
"F is either a cube or a dodecahedron, if it is large",( Large ( f ) & ( Cube ( f ) | Dodec ( f ) ) ) | ~ Large ( f )
"F is either a cube or a dodecahedron, if it is large",Large ( f ) $ ( Cube ( f ) | Dodec ( f ) )
"F is either a cube or a dodecahedron, if it is large",( Large ( f ) $ Cube ( f ) ) | Dodec ( f )
"F is either a cube or a dodecahedron, if it is large",Cube ( f ) | Dodec ( f ) | ~ Large ( f )
"F is either a cube or a dodecahedron, if it is large",Cube ( f ) | ( Large ( f ) $ Dodec ( f ) )
"F is either a cube or a dodecahedron, if it is large",~ Large ( f ) | Cube ( f ) | Dodec ( f )
F is either in back of or smaller than A,"( BackOf ( f , a ) & ~ Smaller ( f , a ) ) | Smaller ( f , a )"
F is either in back of or smaller than A,"Smaller ( f , a ) | BackOf ( f , a )"
F is either in back of or smaller than A,"~ ~ BackOf ( f , a ) | Smaller ( f , a )"
F is either in back of or smaller than A,"( BackOf ( f , a ) | Smaller ( f , a ) ) & ( BackOf ( f , a ) | Smaller ( f , a ) )"
F is either in back of or smaller than A,"~ ~ ( BackOf ( f , a ) | Smaller ( f , a ) )"
F is either in back of or smaller than A,"BackOf ( f , a ) | Larger ( a , f )"
F is either in back of or smaller than A,"FrontOf ( a , f ) | Smaller ( f , a )"
F is either in back of or smaller than A,"BackOf ( f , a ) | ( ~ BackOf ( f , a ) & Smaller ( f , a ) )"
F is either in back of or smaller than A,"Smaller ( f , a ) | FrontOf ( a , f )"
F is either in back of or smaller than A,"BackOf ( f , a ) | Smaller ( f , a )"
F is either in back of or smaller than A,"~ BackOf ( f , a ) $ Smaller ( f , a )"
F is either in back of or smaller than A,"~ ( ~ BackOf ( f , a ) & ~ Smaller ( f , a ) )"
F is either in back of or smaller than A,"FrontOf ( a , f ) | Larger ( a , f )"
F is not in front of A,"~ ( FrontOf ( f , a ) | FrontOf ( f , a ) )"
F is not in front of A,"~ BackOf ( a , f )"
F is not in front of A,"~ FrontOf ( f , a )"
F is not in front of A,"~ ( FrontOf ( f , a ) & BackOf ( a , f ) )"
F is not in front of A,"~ FrontOf ( f , a ) & ~ BackOf ( a , f )"
F is not in front of A,"~ ~ ~ ~ ~ ~ ~ ~ ~ FrontOf ( f , a )"
F is not in front of A,"SameRow ( f , a ) | BackOf ( f , a )"
F is not in front of A,"~ ( FrontOf ( f , a ) | BackOf ( a , f ) )"
F is not in front of A,"~ FrontOf ( f , a ) & ( Dodec ( f ) | ~ Dodec ( f ) )"
F is not in front of A,"BackOf ( f , a ) | SameRow ( f , a )"
F is to the right of A and to the left of B,"LeftOf ( f , b ) & LeftOf ( a , f )"
F is to the right of A and to the left of B,"RightOf ( b , f ) & RightOf ( f , a )"
